"artist_id","followers","genres","image_middle","name","popularity","external_urls","href","uri"
"2CMg8J0WjftvFR5zFbufVA",4379,"baroque ensemble,classical performance",https://i.scdn.co/image/b2c93081d1f13d299240a3ccb015df77516eda7f,Amsterdam Baroque Orchestra,44,https://open.spotify.com/artist/2CMg8J0WjftvFR5zFbufVA,https://api.spotify.com/v1/artists/2CMg8J0WjftvFR5zFbufVA,spotify:artist:2CMg8J0WjftvFR5zFbufVA
"1kSdi5KWzBsRD6LOg0J7Fq",1030,chinese experimental,https://i.scdn.co/image/ab67616d00001e02b0d10f091d83308e95dcd731,Wu Wei,16,https://open.spotify.com/artist/1kSdi5KWzBsRD6LOg0J7Fq,https://api.spotify.com/v1/artists/1kSdi5KWzBsRD6LOg0J7Fq,spotify:artist:1kSdi5KWzBsRD6LOg0J7Fq
"23Z0TsB54gPf1Zo2KLeak9",477,"",https://i.scdn.co/image/ab67616d00001e027ad1a0468dcdc6b876fc5d68,Raphael Alpermann,44,https://open.spotify.com/artist/23Z0TsB54gPf1Zo2KLeak9,https://api.spotify.com/v1/artists/23Z0TsB54gPf1Zo2KLeak9,spotify:artist:23Z0TsB54gPf1Zo2KLeak9
"7cIdAeGd445NFOMJ3fr64K",13503,"classical performance,classical soprano,opera",https://i.scdn.co/image/35a4bb3ef9ca0c7656e7e8b229daedcd6f5656b0,Emma Kirkby,38,https://open.spotify.com/artist/7cIdAeGd445NFOMJ3fr64K,https://api.spotify.com/v1/artists/7cIdAeGd445NFOMJ3fr64K,spotify:artist:7cIdAeGd445NFOMJ3fr64K
"1I6cmfrWqmVnEGjEW7qVkJ",146,"",https://i.scdn.co/image/ab67616d00001e02c301a7bf8d0eac4c3dbb1b9e,Chor und Orchester von St. Augustin,11,https://open.spotify.com/artist/1I6cmfrWqmVnEGjEW7qVkJ,https://api.spotify.com/v1/artists/1I6cmfrWqmVnEGjEW7qVkJ,spotify:artist:1I6cmfrWqmVnEGjEW7qVkJ
"1R1hwKrqqLqYiD53NtXEBJ",11475,"barockinterpreten,baroque ensemble,choral,classical performance,historically informed performance",https://i.scdn.co/image/ab6761610000517470e7cb3600791f873fe651a0,Akademie für Alte Musik Berlin,46,https://open.spotify.com/artist/1R1hwKrqqLqYiD53NtXEBJ,https://api.spotify.com/v1/artists/1R1hwKrqqLqYiD53NtXEBJ,spotify:artist:1R1hwKrqqLqYiD53NtXEBJ
"3OtZV9aCZ6G004vjOQcf59",16195,"baroque ensemble,british orchestra,choral,classical performance,early music ensemble,historically informed performance",https://i.scdn.co/image/ab67616100005174fd6d111889a2958d6bce6a4d,English Baroque Soloists,52,https://open.spotify.com/artist/3OtZV9aCZ6G004vjOQcf59,https://api.spotify.com/v1/artists/3OtZV9aCZ6G004vjOQcf59,spotify:artist:3OtZV9aCZ6G004vjOQcf59
"05OQwvgj7Q7jHJy38bma4R",5486,"baroque ensemble,classical performance,early music ensemble,historically informed performance,musique ancienne",https://i.scdn.co/image/ab67616d00001e022794869719eb886308d8ee26,Les Musiciens du Louvre,41,https://open.spotify.com/artist/05OQwvgj7Q7jHJy38bma4R,https://api.spotify.com/v1/artists/05OQwvgj7Q7jHJy38bma4R,spotify:artist:05OQwvgj7Q7jHJy38bma4R
"2Oz3z7PPQUMU2KNYgcO1sA",17168,"baroque ensemble,british choir,british orchestra,classical performance,historically informed performance",https://i.scdn.co/image/ab6761610000517455b58d0ec2693200440f1f51,The English Concert,57,https://open.spotify.com/artist/2Oz3z7PPQUMU2KNYgcO1sA,https://api.spotify.com/v1/artists/2Oz3z7PPQUMU2KNYgcO1sA,spotify:artist:2Oz3z7PPQUMU2KNYgcO1sA
"2lKbDcQJawiFHTOIiIimDB",161,"",https://i.scdn.co/image/ab67616d00001e027970cc39cba17b1416c90a88,Bernhard Forck,35,https://open.spotify.com/artist/2lKbDcQJawiFHTOIiIimDB,https://api.spotify.com/v1/artists/2lKbDcQJawiFHTOIiIimDB,spotify:artist:2lKbDcQJawiFHTOIiIimDB
