,user,item,time_period,timestamp,position
22,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0RbeZ622msyNE3mMwhSezh,medium,1666364044.2272007,22
23,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1Dad57Qaz6QVSApYKKkYPk,medium,1666364044.2272007,23
24,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1vRWBwDWDbuyzTSBHLQkq4,medium,1666364044.2272007,24
25,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,3mI8CEKN4jBiq41WHaOPOg,medium,1666364044.2272007,25
26,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,3uZZAsy8EoCOnizxNCxmxm,medium,1666364044.2272007,26
27,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4MNuUPVgAALVneM0kughvi,medium,1666364044.2272007,27
28,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4nZ9mRyvtPld4BEHExFKyA,medium,1666364044.2272007,28
29,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5NyMNdFFLPfg9Aa2LYKXne,medium,1666364044.2272007,29
30,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5m8XyUXTdqa4BSdg3F80JI,medium,1666364044.2272007,30
31,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5q01OTyi5gxzcoyry0lKLh,medium,1666364044.2272007,31
32,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6sN41XUlsx1eRpvspeTLsf,medium,1666364044.2272007,32
33,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7AmasRfRGxicyHcC3O74n3,medium,1666364044.2272007,33
34,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0SH79vh3rXHDWFwerUsAkZ,medium,1666364044.2272007,34
35,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0SktUR1uEOCAW8eFqyQ4VC,medium,1666364044.2272007,35
36,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0gvHtTeH4M2Jr0MBVpfaAc,medium,1666364044.2272007,36
37,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0mTyUcBJWaB8BQ8N1TnedI,medium,1666364044.2272007,37
38,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0yy2V7si69R9AJwwiOOW5K,medium,1666364044.2272007,38
39,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1aIDmi7GhfDSVGzsPH3cV4,medium,1666364044.2272007,39
40,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1chT7Yo3zSvjFPRQ20fWFH,medium,1666364044.2272007,40
41,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1hgKwBd45VpOyoxbXhmxTK,medium,1666364044.2272007,41
42,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,24TQIQpKJWp4isMbulvifs,medium,1666364044.2272007,42
43,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2GNEJcmdJuQK97mWea637Y,medium,1666364044.2272007,43
44,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2R6JuT1bLvC8ciqpYeqBz2,medium,1666364044.2272007,44
45,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2UUXNjVVty8KwkUQ5dqvtq,medium,1666364044.2272007,45
46,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2YdEnV8am1dwhoOTfa9APB,medium,1666364044.2272007,46
47,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2Yjd9bxyrAlMwoOZCdZ87s,medium,1666364044.2272007,47
